
Host: rh05314.villa-bosch.de

Timers On : Wed Feb  5 11:58:12 2020
Timers Off: Wed Feb  5 11:58:14 2020

Wall Time:        1.45 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | Properties                      :      0.233u      0.000s      0.153w   5736 calls
| | Functional                      :      0.567u      0.000s      0.328w   5736 calls
| | V_xc                            :      0.283u      0.017s      0.166w   5736 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.000w      8 calls
| | JK: J                           :      0.000u      0.000s      0.000w      8 calls
| | | JK: J1                        :      0.000u      0.000s      0.000w     16 calls
| | | JK: J2                        :      0.000u      0.000s      0.000w     16 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.003w      7 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.000w      7 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.000w      7 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      7 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      7 calls
| | New vector                      :      0.000u      0.000s      0.000w      7 calls
HF: Form C                          :      0.000u      0.000s      0.001w      7 calls

**************************************************************************************

Host: rh05314.villa-bosch.de

Timers On : Wed Feb  5 13:47:29 2020
Timers Off: Wed Feb  5 13:47:31 2020

Wall Time:        1.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.050u      0.000s      0.030w      1 calls
JK: (A|mn)                          :      0.000u      0.000s      0.004w      1 calls
JK: (A|Q)^-1/2                      :      0.033u      0.000s      0.021w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)^L                        :      0.000u      0.000s      0.002w      1 calls
