
Host: rh05314.villa-bosch.de

Timers On : Wed Feb  5 11:57:50 2020
Timers Off: Wed Feb  5 11:57:52 2020

Wall Time:        2.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Properties                          :      0.150u      0.017s      0.080w   1142 calls
Functional                          :      0.083u      0.000s      0.063w   1142 calls
V_xc                                :      0.100u      0.000s      0.062w   1142 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.050u      0.017s      0.037w      2 calls
DFH: initialize()                   :      0.100u      0.000s      0.053w      1 calls
| DFH: sparsity prep                :      0.033u      0.000s      0.014w      1 calls
| DFH: AO Construction              :      0.000u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.001w      1 calls
JK: D                               :      0.000u      0.000s      0.000w      2 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      2 calls
JK: JK                              :      0.000u      0.000s      0.000w      2 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.000w      2 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w      2 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.000w      2 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      2 calls
UV: Form V                          :      0.333u      0.017s      0.208w      2 calls
| Properties                        :      0.150u      0.017s      0.080w   1142 calls
| Functional                        :      0.083u      0.000s      0.063w   1142 calls
| V_xc                              :      0.100u      0.000s      0.062w   1142 calls

**************************************************************************************

Host: rh05314.villa-bosch.de

Timers On : Wed Feb  5 13:47:27 2020
Timers Off: Wed Feb  5 13:47:29 2020

Wall Time:        1.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.050u      0.017s      0.038w      2 calls
JK: (A|mn)                          :      0.000u      0.000s      0.009w      1 calls
JK: (A|Q)^-1/2                      :      0.050u      0.000s      0.021w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)^L                        :      0.000u      0.000s      0.005w      1 calls
JK: (A|Q)^-1                        :      0.033u      0.000s      0.020w      1 calls
JK: (Q|mn)^L                        :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)^R                        :      0.017u      0.000s      0.006w      1 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.050u      0.000s      0.023w      8 calls
JK: J                               :      0.000u      0.000s      0.001w      8 calls
JK: J1                              :      0.000u      0.000s      0.000w     16 calls
JK: J2                              :      0.000u      0.000s      0.000w     16 calls
JK: K                               :      0.033u      0.000s      0.006w      8 calls
JK: K1                              :      0.033u      0.000s      0.005w     16 calls
JK: K2                              :      0.000u      0.000s      0.001w     16 calls
JK: wK                              :      0.017u      0.000s      0.015w     24 calls
JK: wK1                             :      0.017u      0.000s      0.015w     96 calls
JK: wK2                             :      0.000u      0.000s      0.001w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
UV: Form V                          :      1.850u      0.017s      1.134w      8 calls
Properties                          :      0.567u      0.000s      0.317w   4568 calls
Functional                          :      0.917u      0.000s      0.559w   4568 calls
V_xc                                :      0.350u      0.017s      0.247w   4568 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.050u      0.017s      0.038w      2 calls
JK: (A|mn)                          :      0.000u      0.000s      0.009w      1 calls
JK: (A|Q)^-1/2                      :      0.050u      0.000s      0.021w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)^L                        :      0.000u      0.000s      0.005w      1 calls
JK: (A|Q)^-1                        :      0.033u      0.000s      0.020w      1 calls
JK: (Q|mn)^L                        :      0.000u      0.000s      0.000w      1 calls
